,닉네임,댓글,날짜
743,으이구(210.205),감정평가단님.. 나무는 멀리 떨어져 있자나용..바보,2001.08.10 13:39:20
744,심리학박사(211.49),만약 저사진 올리신분이 제목에다가 본넷트에 불붙은 자동차~ 이렇게 재목을 붙였더라면 이런 논쟁은 없었을겁니다. 합성인지 아닌지.이렇게 물었기때문에 심리적으로 합성쪽으로 몰고가는 것입니다. 괜히 합성이길 바라면서 사진을 바라보기 때문에...,2001.08.10 14:10:15
745,쓰리디맨(211.195),합성 아닙니다.. 연기 그림자 있습니다. 차 앞에 확실히 그림자 보입니다..,2001.08.10 14:10:25
746,현대차 직원(211.200),저거 합성~임!!  절대 보상 못함~!!ㅋㅋㅋ,2001.08.11 23:35:17
747,흠..(147.46),"합성의 가능성 있습니다. 저정도 불에 페인트가 검게 그을릴 정도의 열이라면, 앞유리가 나가던가, 타이어가 터졌어야 합니다. 뭐 휘발유나 신나 같은거 뿌리고 불질렀다면 모르지만, 일부러 불지르지는 않았다는 가정하에...",2001.08.10 14:34:54
748,daybreak(211.104),앞타이어는 이미 바람이 빠진 것 같은데요.,2001.08.10 14:45:17
749,헐....(211.216),앞타이어 팽팽하구만.........,2001.08.10 14:48:37
750,......(211.216),지금이 어떤 세상인데......없는 사람도 만들어내는 세상인데......저런 건 같잖아서 빵구가 안나옴.......,2001.08.10 14:51:18
751,9668(61.74),어.......내차잖아.......,2001.08.10 15:41:59
752,나도(211.216),떠기님에 의견에 찬성합니다.  땅바닥 불 이상함다.,2001.08.10 15:57:18
753,ltd(211.230),떠기님 말이 정말 일리가 있군요,2001.08.10 16:31:33
754,소방간(211.255),"저 차에 나는 흰 연기는 냉각수가 새어 뜨거운 엔진에 닿을때나 날까?... 실제 차가 탈때는  페인트,고무,플라스틱등이 타는 시커먼  유독성 연기죠 . 저런 곱고 예쁜 색이 아닙니다",2001.08.10 16:48:55
755,토맛쓰(211.38),"소방간 이니 그정도밖에 모를 수 밖에.. 기화기쪽이나 연료관 주위기 파손되 연료가 샌다면 불붙기전엔 뽀얀 흰색입니다. 집에서 휘발유 주전자에 넣고 가열해 보십시요 연기 색깔이 어떤가.. 차안에 타는게 페인트, 고무, 플라스틱 밖에 상상이 안가나요? 기화된 연기가 프론트 펜터 틈사이로 새어 나오는겁니다.",2001.08.10 17:33:07
756,냠(210.221),흠 딱보면 합성이구먼.. 무슨.,2001.08.10 17:34:05
757,ㅁ(211.188),합성 멋있다 초고수^^,2001.08.10 17:40:41
758,소방간칭구(211.255),아니..토맛쓰!! 먼말이야? 누가 불붙기전엘 물었나? 니눈엔 저 불이 안보인단 말야? 그리구 불을 니가 많이봐? 소방간이 많이 봐? 멀 하나 갈쳐주면 노트에 딱딱 적을것이지...의심스러우면 니 치에 불질러 놓고 함 보라구..,2001.08.10 17:57:18
759,김유식(211.49),김유식님은 어떻게 생각하시는지요...,2001.08.10 18:32:37
760,귤(211.105),그만좀 하시져...     답이 나왔으면.. 그냥 받아들이면 되져~~   드림팀두 멀라여?  결과에 승복할 줄 아는 사회를 만든다자나여!! 승복해여!,2001.08.12 15:01:07
761,산타페(211.195),하하...답 나왔군요.,2001.08.10 22:27:54
762,디자이너(211.219),절대 합성 아님... 엔진이 터진게 아니라... 화염병 같은 걸 본넷위로 던진것으로 추정됨...,2001.08.10 23:27:14
763,바보아냐?(211.186),디자이너?? 답 나왔다자나요..,2001.08.10 23:38:30
764,그러게..(211.187),그렇게 합성이라고 똥고집을 피울땐 언제더니 이제 슬그머니 글 보고 사라지네...ㅋㅋㅋ,2001.08.11 22:24:59
765,홍홍(211.176),불 저렇게 나는데 사진 찍을 시간이 있나-_-,2001.08.11 00:05:40
766,워니(211.49),합성임다,2001.08.11 00:37:05
767,독설가(211.49),합성이라고 주장했던 인간들이여..자중하라......답답한 인간들...,2001.08.11 00:48:33
768,독설가(211.49),"합성님, 박진희님,  에자님,  ㅌㅌ님,  합성같당님,지원이님,이름이님,우즈키님,화재감식가님,등등 여러님들 다시한번 말해보시죠...후후.",2001.08.11 00:52:24
769,록크(210.181),실제상황입니다. 아무래도 이 상황을 위해서 일부러 차에 불을 지른듯하군요.,2001.08.11 02:27:20
770,헐.....(211.219),터미네이터2의 T-1000도 진짜라고 믿을 사람들이 많군....,2001.08.11 04:04:02
771,simaa(211.110),"내차도 저런식으로 불이 붙었다고 했자나여 일산에서 파주가는길에 본넷에서 연기가 나길래 본넷 여는 순간 불이 저렇게 확 올라왔어여 내차도 현대 그랜져 현대 자각 해야 겠구만,,,,그땐 난 걍 보험 했는데 나도 현대에다가 말할걸 ㅠ.ㅠ",2001.08.11 11:17:48
772,흐미(211.110),"저렇게 합성 하실수 있느는분 한번 합성해서 올려보시져 제가 말했던것처럼 스승으로 모시도록하져 ㅎㅎㅎ 웹디자이너 우습게 보지 말아여 ㅎㅎㅎ저위에 디자이너가 합성이라고 한거 같던데 공부좀 열심이 하시져,,,",2001.08.11 11:19:41
773,독설가(211.110),아참 답답하구만... 위에 귤님이 올린거 보고 말해라... 헐....아...너 참 답답하다...알지도 못하면서 깝쳐대니 원...,2001.08.11 11:34:46
774,독설가(211.110),귤님이 올린거 보라구!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2001.08.11 11:38:07
775,독설가(211.110),그리고 합성이라고 주장했던 인간들 글좀 써보라고!!!!!!!!!!!!!,2001.08.11 11:40:02
776,합성이다(61.75),누가 차문열어놓구 불붙였냐???,2001.08.11 12:25:50
777,여보셔(211.110),소방관~ 냉각수가 탈때 뭐가 어쩌고 저쩌고 그러시더니~ 불을 많이 보신다며?근데 틀리셨네~ 어디 말좀 해보시지?,2001.08.11 14:25:58
778,소방소장(211.255),소방간은 감봉 처분 되슴다. 화재신고는 119임다.,2001.08.11 15:45:46
779,독서가(211.255),근데 독설가는 왜 똥침맞은 강아지처럼 저렇게 흥분하쥐? 흐흐 다 웃자고 한 일을 혼자 답답해서 날뛰고 있네?,2001.08.11 15:48:32
780,독사과(211.58),웃자고 하긴... 멍청하게 합성이라 꽥꽥거려 놓고선...,2001.08.11 18:55:55
781,전문가(211.58),내가 100000% 합성아니라고 노래부를때 합성확실하다고 짹짹거리던분들 어디갔지? 앞으로 엽기방에서 리플달땐 내공을 더 쌓고 오세요~ 멍멍,2001.08.11 18:54:02
782,신환다 내꼬~~☆★(61.74),"100%합성이네요!! 번호판이 그대로구여, 불과 차가 만나는 선에 합성티가 그대로 납니다~~",2001.08.13 15:51:34
783,디카라뇨(211.221),인터쿨러-터보 차는 저렇게 불이 나기도 함다... 조심하세여.,2001.08.13 16:22:42
784,콜라토끼(211.49),"보아하니 합성은 아닌데, 합성하라구 하면 저두 가능할 것 같군요!",2001.08.14 01:38:31
785,카센타 직원(211.207),"하지만,,,타이어 위쪽의 화염에 페인트가 변색되기 시작하는 모습은 사실인듯이 보입니다,,,저게 정말 합성이라면 이사람은 정말 대단한 분입니다,,아래쪽의 오일에 의한 화염도 일부분은 실사처럼 보입니다,,",2001.08.15 15:03:03
786,카센타직원(211.207),"합성입니다,,먼저,화염속에서도 번호판은깔끔하군요,,보란듯이,,,조수석쪽 휀다처럼 열에의해 색이 변했어도 한참 변했을거 같은데,,,",2001.08.15 14:50:06
787,카센타직원(211.207),"그래서 제 생각의 결론은,,,제가 보기에는 화재의 일부는,,,진짜 같습니다,,하지만 이 사진은 거기다가 화염을 조금 더 입힌거 같네요,,실사에다가 약간 과장되어 보이도록 합성을 한,,,실사와 합성의 교묘한 배합,,,그런거 같습니다,,,,그리고,,,기스하나 없이 멀쩡한 프론트 가드에도 불구하고,,,깜쪽같이 깨어져 버린 운전석쪽 안개등,,,참으로 대단한 기술입니다그려,,,",2001.08.15 15:06:52
788,카센타직원(211.207),"그리고 연기의 흐름으로 봐서는 바람이 불지 않는듯,,그렇다면 당연히 아래쪽의 화염과 연기도 좌우와 앞쪽으로도 올라 와야 할겁니다 현재의 연기는 화염에 비해 너무 약해 보입니다,,,,그리고 저런 화염에 하얀 연기라니,,",2001.08.15 14:56:01
789,말도안됨..(210.104),사진을 자세히 보면 열려있는 오른쪽 창문이 선팅된 글래스임을 암 수 있음...,2001.08.17 08:38:21
790,말도안됨..(210.104),역시 자세히 살펴보면 주위 환결(나무 등)이 상당한 디테일로 반사중임을 알 수 있음,2001.08.17 08:39:53
791,말도안됨..(210.104),불길의 두께가 0픽셀이고 창문이 완벽한 평판(당삼 아님...차 창문은 좀 휘었죠?)이 아닌한...저 글래스에 화광이 반사되어 어른거리지 않는것은 불가능함다...,2001.08.17 08:41:17
792,말도안됨..(210.104),사소한데서 실수를 하셧군요...하지만 이거 합성하신 분은 정말 대단한 실력을 가지고 있는 분인거 같네요...,2001.08.17 08:42:21
793,말도안됨..(210.104),참고로 페인트나 오일등이 탈 때는 절대 완전연소가 되지 않음....하얀색 연기는 완전연소시에만 나오죠....,2001.08.17 08:44:26
794,말도안됨..(210.104),그리고 위에서 논란의 종지부를 찍은 글은...진짜가 아님...그냥 사진보고 만든 글이라네염...,2001.08.17 08:50:47
795,말도안됨..(210.104),진실된 자료가 아니더라도...단지 자신의 주장에 맞으면 의심없이 받아들이고 반대를 비난한다면...그건 네티켓이 아니죰...,2001.08.17 08:51:56
796,쭈꾸미(211.42),차 앞쪽이 내려 앉은 걸루 봐서 폭파와 함께된 화재 인 것 같네요..,2001.08.17 09:41:38
797,합성아님(211.234),합성 아니라고 링크 해놓으셨네요-_-;; 글 좀 천천히 처음부터 읽으시길..,2001.08.18 01:16:56
798,이박사(211.243),합성 아닙니다. 엔진과열로 불 붙은거예요. 차 앞으로 땅바닥을 보면 열에 의해 수증기나 기타 기화된 물질에 의해 공기밀도가 들려져서 생기는 그림자를 보세요. 페인트가 실제로 연소가 되지 않고 고열에 기화되면 흰연기 남니다. 기과된 페인터중 일부는 불이 가까이에 있어서 바로 연소 되는거구요. 그리고 완전연소하면 연기 안나요 -_-;,2001.10.19 13:33:03
799,차주인(211.219),저거 합성하녀요~  우우우우~~~ 내 차~~~,2001.11.07 22:24:32
800,합성같당(211.193),저렇게 합성하는거 가능합니다.좀 힘들어서 그렇지 저두 할수 있을꺼 같네여...ㅡㅡ;;,2001.08.10 09:21:47
801,meek(203.247),우연일지 몰라도 전 1달동안 테리칸이랑 산타페 앞부분 타는거 봤습니다. 길가다가.. 원인은 모르겠지만.. -.-; 헉.. 나도 현대찬데... -.-; 문제가 있는것일까요? 흔하게 볼수 있는 장면들이 아니라...  -.-;,2001.08.10 10:25:53
802,합성같당(211.193),제가공부하는 외국책보면 저거보다 더 진짜같은거 많아염,2001.08.10 09:24:17
803,떠기(211.106),합성입니다. 왜냐하면 차 앞쪽 땅에 불이 붙었잖습니까? 그런데 불이 붙었다면 어느정도 그 주위는 밝아야 하는데 전혀 그렇지 않고 그림자 부분이 전체적으로 검습니다.,2001.08.10 15:37:20
804,제리(39.115),오 ㄷㄷ ㄹㅇ,2021.10.08 23:03:15
