,닉네임,댓글,날짜
122,ㅏ(61.110),그래서 이겨 결과가 뭐야 직찍이야 합성이야,2008.12.05 04:22:34
123,양메카 ,미래에서 왔습니다.,2008.12.06 22:22:05
124,봉다리 ,내가 마지막 ㄳ,2008.12.09 16:50:18
125,섬세한김판득 ,ㄴ미안해 병시나,2008.12.09 19:00:23
126,좆쟁이 (221.162),이딴게 힛갤이엿다니,2008.12.15 20:08:41
127,애기(168.126),꺄륵꺄륵 딱봐도 합성이네 옆에있는 내 친구도 딱보니 합성이래잖아,2008.12.23 18:18:45
128,애기(168.126),저 높은 불이 뒤에 창문에 비치지도 않는구만 글고 불이 별로 자연스럽지가 않잖아,2008.12.23 18:19:27
129,§헬리오트로프 ,후훗,2009.01.30 20:17:56
130,ㅋㅋㅋㅋ(114.205),ㅋㅋㅋ흐흐,2009.02.07 02:51:03
131,내가 끝이다(118.220),알았냐?,2009.02.09 00:02:33
132,내가끝(122.128),ㅇㅇ ㅅㅂ 명바기는 언제 뒈지냐 ㅠㅠ,2009.02.14 13:44:47
133,이거슨레어 ,끝임 ㅅㄱ,2009.02.19 14:41:12
134,Holyshit(220.81),내가 끝인디,2009.02.19 23:36:43
135,유동닉ㅇㅋ ,사실은 내가 끝,2009.02.21 17:29:10
136,죶-와 ,죶이와싱턴,2009.02.26 12:29:56
137,봉다리 ,사실내가끗,2009.04.08 16:58:35
138,Inestia ,내가끗ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2009.04.15 23:00:25
139,봉다리 ,내가끗이다 이네스티아에게 밀릴이유 없엉,2009.04.16 19:38:50
140,ㅁㄴㅇ(211.107),내가끝임ㅋㅋ,2009.04.17 09:38:39
141,정글의왕모글리 ,아닌데 ㅋ,2009.04.24 02:04:04
142,앙(125.181),끗,2009.04.26 11:54:45
143,아하감시단 ,내가 끝~,2009.04.28 19:09:11
144,thecold ,내가 끝 ㅠㅠ,2009.05.06 01:28:10
145,mincartoon ,성지순례,2009.05.09 01:29:03
